index,away,defense_ast,defense_ffum,defense_int,defense_sk,defense_tkl,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,home,kicking_fga,kicking_fgm,kicking_fgyds,kicking_totpfg,kicking_xpa,kicking_xpb,kicking_xpmade,kicking_xpmissed,kicking_xptot,kickret_avg,kickret_lng,kickret_lngtd,kickret_ret,kickret_tds,name,opponent,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,punting_avg,punting_i20,punting_lng,punting_pts,punting_yds,puntret_avg,puntret_lng,puntret_lngtd,puntret_ret,puntret_tds,receiving_lng,receiving_lngtd,receiving_rec,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds,team,week,year
0,PIT,,,,,,,,,,,NE,,,,,,,,,,,,,,,T.Brady,PIT,32.0,25.0,0.0,4.0,0.0,0.0,288.0,,,,,,,,,,,,,,,,,,3.0,2.0,0.0,0.0,0.0,0.0,1.0,NE,1,2015
1,PIT,,,,,,0.0,0.0,1.0,0.0,0.0,NE,,,,,,,,,,,,,,,D.Lewis,PIT,,,,,,,,,,,,,,,,,,19.0,0.0,4.0,0.0,0.0,0.0,51.0,15.0,13.0,0.0,0.0,0.0,0.0,69.0,NE,1,2015
2,PIT,,,,,,,,,,,NE,,,,,,,,,,,,,,,J.Edelman,PIT,,,,,,,,,,,,,,,,,,14.0,0.0,11.0,0.0,0.0,0.0,97.0,1.0,9.0,0.0,0.0,0.0,0.0,9.0,NE,1,2015
3,PIT,,,,,,,,,,,NE,,,,,,,,,,,,,,,B.Bolden,PIT,,,,,,,,,,,,,,,,,,12.0,0.0,1.0,0.0,0.0,0.0,12.0,5.0,3.0,0.0,0.0,0.0,0.0,1.0,NE,1,2015
4,PIT,,,,,,0.0,1.0,0.0,1.0,0.0,NE,,,,,,,,,,,,,,,R.Gronkowski,PIT,,,,,,,,,,,,,,,,,,52.0,16.0,5.0,3.0,0.0,0.0,94.0,,,,,,,,NE,1,2015
5,PIT,,,,,,,,,,,NE,,,,,,,,,,,,,,,D.Amendola,PIT,,,,,,,,,,,,,1.0,1.0,0.0,1.0,0.0,18.0,0.0,2.0,0.0,0.0,0.0,24.0,,,,,,,,NE,1,2015
6,PIT,,,,,,,,,,,NE,,,,,,,,,,,,,,,S.Chandler,PIT,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,,,,,,,NE,1,2015
7,PIT,,,,,,,,,,,NE,,,,,,,,,,,,,,,A.Dobson,PIT,,,,,,,,,,,,,,,,,,9.0,0.0,1.0,0.0,0.0,0.0,9.0,,,,,,,,NE,1,2015
8,PIT,,,,,,,,,,,NE,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,4.0,,,,,,S.Gostkowski,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,1,2015
9,PIT,,,,,,,,,,,NE,,,,,,,,,,,,,,,R.Allen,PIT,,,,,,,,42.0,1.0,47.0,4.0,171.0,,,,,,,,,,,,,,,,,,,,NE,1,2015
10,PIT,,,,,,,,,,,NE,,,,,,,,,,8.0,8.0,0.0,1.0,0.0,M.Williams,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,1,2015
11,PIT,2.0,0.0,0.0,0.0,1.0,,,,,,NE,,,,,,,,,,,,,,,C.Jones,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,1,2015
12,PIT,2.0,0.0,0.0,0.0,2.0,,,,,,NE,,,,,,,,,,,,,,,T.Brown,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,1,2015
13,PIT,1.0,0.0,0.0,0.0,1.0,,,,,,NE,,,,,,,,,,,,,,,J.Mayo,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,1,2015
14,PIT,3.0,0.0,0.0,0.0,3.0,,,,,,NE,,,,,,,,,,,,,,,J.Collins,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,1,2015
15,PIT,1.0,0.0,1.0,0.0,2.0,,,,,,NE,,,,,,,,,,,,,,,D.Harmon,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,1,2015
16,PIT,2.0,0.0,0.0,0.0,4.0,,,,,,NE,,,,,,,,,,,,,,,B.Fletcher,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,1,2015
